Forest tenure,Burnt Forest Area,State
Leasehold forest,19,NS
Multiple-use public forest,880,NS
Nature conservation reserve,"2,750",NS
Other Crown land,109,NS
Private forest,"1,254",NS
Leasehold forest,0,NT
Multiple-use public forest,0,NT
Nature conservation reserve,0,NT
Other Crown land,0,NT
Private forest,0,NT
Leasehold forest,18,QL
Multiple-use public forest,162,QL
Nature conservation reserve,169,QL
Other Crown land,48,QL
Private forest,110,QL
Leasehold forest,22,SA
Multiple-use public forest,0,SA
Nature conservation reserve,62,SA
Other Crown land,0,SA
Private forest,33,SA
Leasehold forest,0,TS
Multiple-use public forest,10,TS
Nature conservation reserve,3,TS
Other Crown land,6,TS
Private forest,7,TS
Leasehold forest,0,VI
Multiple-use public forest,878,VI
Nature conservation reserve,496,VI
Other Crown land,13,VI
Private forest,57,VI
Leasehold forest,50,WA
Multiple-use public forest,31,WA
Nature conservation reserve,286,WA
Other Crown land,749,WA
Private forest,22,WA
